[2026-06-15T12:22:11.500Z] GET https://italy-houses.onrender.com/?v=1781526131 → pending (?ms, ?B)
[2026-06-15T12:22:11.765Z] GET https://italy-houses.onrender.com/api/outline → 200 (274ms, 11486B)
[2026-06-15T12:22:12.056Z] GET https://italy-houses.onrender.com/api/listings → 200 (264ms, 459498B)
[2026-06-15T12:22:12.436Z] GET https://italy-houses.onrender.com/img/32157276/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.437Z] GET https://italy-houses.onrender.com/img/20459556/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.437Z] GET https://italy-houses.onrender.com/img/102948/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.437Z] GET https://italy-houses.onrender.com/img/28867319/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.437Z] GET https://italy-houses.onrender.com/img/35581453/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.437Z] GET https://italy-houses.onrender.com/img/32756489/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.437Z] GET https://italy-houses.onrender.com/img/27775756/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.437Z] GET https://italy-houses.onrender.com/img/28357037/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.437Z] GET https://italy-houses.onrender.com/img/35462624/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.437Z] GET https://italy-houses.onrender.com/img/31378603/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.437Z] GET https://italy-houses.onrender.com/img/34194777/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.437Z] GET https://italy-houses.onrender.com/img/33375799/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.438Z] GET https://italy-houses.onrender.com/img/24582800/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.438Z] GET https://italy-houses.onrender.com/img/25240650/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.438Z] GET https://italy-houses.onrender.com/img/30036013/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.438Z] GET https://italy-houses.onrender.com/img/31588903/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.438Z] GET https://italy-houses.onrender.com/img/30347283/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.438Z] GET https://italy-houses.onrender.com/img/24114539/0 → pending (?ms, ?B)
[2026-06-15T12:22:12.443Z] GET https://italy-houses.onrender.com/img/32157276/1 → pending (?ms, ?B)
[2026-06-15T12:22:12.443Z] GET https://italy-houses.onrender.com/img/32157276/2 → pending (?ms, ?B)
[2026-06-15T12:22:12.443Z] GET https://italy-houses.onrender.com/img/32157276/3 → pending (?ms, ?B)
[2026-06-15T12:22:12.443Z] GET https://italy-houses.onrender.com/img/32157276/4 → pending (?ms, ?B)
[2026-06-15T12:22:23.732Z] GET https://italy-houses.onrender.com/img/32157276/5 → 200 (405ms, 552568B)
[2026-06-15T12:22:23.811Z] GET https://italy-houses.onrender.com/img/32157276/6 → 200 (537ms, 500137B)
[2026-06-15T12:22:24.042Z] GET https://italy-houses.onrender.com/img/32157276/7 → pending (?ms, ?B)
[2026-06-15T12:22:24.101Z] GET https://italy-houses.onrender.com/img/32157276/8 → pending (?ms, ?B)
[2026-06-15T12:22:24.348Z] GET https://italy-houses.onrender.com/img/32157276/9 → pending (?ms, ?B)
[2026-06-15T12:22:24.560Z] GET https://italy-houses.onrender.com/img/32157276/10 → pending (?ms, ?B)
[2026-06-15T12:22:25.413Z] GET https://italy-houses.onrender.com/img/32157276/11 → pending (?ms, ?B)
[2026-06-15T12:22:25.576Z] GET https://italy-houses.onrender.com/img/32157276/12 → pending (?ms, ?B)
